,Artist,Art Name,Date,Image Thumbnail,artist,cloud prediction
0,Asher Brown Durand,"The Declaration of Independence, July 4, 1776",1823,https://stor.artstor.org/stor/e676f1cc-b8ed-4b36-a7f2-a2f46ce08f2a_size1,durand,As
4,Asher Brown Durand,Kaaterskill Landscape,1850,https://stor.artstor.org/stor/7d7f42c3-66b4-410a-b1b3-cd06f0203da6_size1,durand,Ct
8,Asher Brown Durand,Kindred spirits,1849.,https://stor.artstor.org/stor/4e029f92-5ede-498c-85e6-1788aab6106a_size1,durand,Ns
12,Asher Brown Durand,Forest Trees,n.d.,https://stor.artstor.org/stor/e7b00fc4-4ad7-4c0f-98b4-10b8ed3827d6_size1,durand,Cc
16,Asher Brown Durand,Forest in the Morning Light,1855,https://stor.artstor.org/stor/d9031fcc-b1d1-4afe-ab1e-669a7355afc3_size1,durand,Ac
20,Asher Brown Durand,A Pastoral Scene,1858,https://stor.artstor.org/stor/b5447cd0-0e12-4942-bd03-ea10d5893a47_size1,durand,Cu
24,Asher Brown Durand,Landscape with Birches,about 1855,https://stor.artstor.org/stor/4a117a1c-89a2-482d-8407-c0d40a368f2d_size1,durand,Sc
28,Asher Brown Durand,Ariadne,ca. 1831-35,https://stor.artstor.org/stor/d72e0933-8995-4acc-bc48-c7e9940ea868_size1,durand,St
30,Asher Brown Durand,Ariadne,ca. 1831-35,https://stor.artstor.org/stor/d72e0933-8995-4acc-bc48-c7e9940ea868_size1,durand,Ac
31,Asher Brown Durand,Ariadne,ca. 1831-35,https://stor.artstor.org/stor/d72e0933-8995-4acc-bc48-c7e9940ea868_size1,durand,Sc
32,Asher Brown Durand,Ariadne,ca. 1831-35,https://stor.artstor.org/stor/d72e0933-8995-4acc-bc48-c7e9940ea868_size1,durand,Ns
37,Asher Brown Durand,Ariadne,1834,https://stor.artstor.org/stor/a7aeea63-2a15-49eb-91c9-62c0a3daaffb_size1,durand,St
39,Asher Brown Durand,Ariadne,1834,https://stor.artstor.org/stor/a7aeea63-2a15-49eb-91c9-62c0a3daaffb_size1,durand,Ac
40,Asher Brown Durand,Ariadne,1834,https://stor.artstor.org/stor/a7aeea63-2a15-49eb-91c9-62c0a3daaffb_size1,durand,Sc
41,Asher Brown Durand,Ariadne,1834,https://stor.artstor.org/stor/a7aeea63-2a15-49eb-91c9-62c0a3daaffb_size1,durand,Ns
46,Asher Brown Durand,Ariadne,1835.,https://stor.artstor.org/stor/a60678f3-3360-4592-89e2-f026fe000800_size1,durand,St
48,Asher Brown Durand,Ariadne,1835.,https://stor.artstor.org/stor/a60678f3-3360-4592-89e2-f026fe000800_size1,durand,Ac
49,Asher Brown Durand,Ariadne,1835.,https://stor.artstor.org/stor/a60678f3-3360-4592-89e2-f026fe000800_size1,durand,Sc
50,Asher Brown Durand,Ariadne,1835.,https://stor.artstor.org/stor/a60678f3-3360-4592-89e2-f026fe000800_size1,durand,Ns
82,Asher Brown Durand,Ariadne,1835,https://stor.artstor.org/stor/4a9c09bc-d330-4dc5-8e9e-66659b04b96c_size1,durand,St
84,Asher Brown Durand,Ariadne,1835,https://stor.artstor.org/stor/4a9c09bc-d330-4dc5-8e9e-66659b04b96c_size1,durand,Ac
85,Asher Brown Durand,Ariadne,1835,https://stor.artstor.org/stor/4a9c09bc-d330-4dc5-8e9e-66659b04b96c_size1,durand,Sc
86,Asher Brown Durand,Ariadne,1835,https://stor.artstor.org/stor/4a9c09bc-d330-4dc5-8e9e-66659b04b96c_size1,durand,Ns
91,Asher Brown Durand,Ariadne,1835,https://stor.artstor.org/stor/53d32ba7-2a42-49d1-93be-c59317ab2967_size1,durand,St
93,Asher Brown Durand,Ariadne,1835,https://stor.artstor.org/stor/53d32ba7-2a42-49d1-93be-c59317ab2967_size1,durand,Ac
94,Asher Brown Durand,Ariadne,1835,https://stor.artstor.org/stor/53d32ba7-2a42-49d1-93be-c59317ab2967_size1,durand,Sc
